XTY's ResNet18 starts training!

epoches=200
batch_size=128
weight_decay=0.0

[epoch: 43, 351/391] Loss: 0.067 | Accuracy: 97.621%

Epoch:  44 | @lr=0.100 @momentum=0.9
[epoch: 44,   1/391] Loss: 0.080 | Accuracy: 97.656%
[epoch: 44,  51/391] Loss: 0.057 | Accuracy: 97.855%
[epoch: 44, 101/391] Loss: 0.053 | Accuracy: 98.012%
[epoch: 44, 151/391] Loss: 0.056 | Accuracy: 97.972%
[epoch: 44, 201/391] Loss: 0.057 | Accuracy: 97.928%
[epoch: 44, 251/391] Loss: 0.058 | Accuracy: 97.868%
[epoch: 44, 301/391] Loss: 0.058 | Accuracy: 97.900%
[epoch: 44, 351/391] Loss: 0.060 | Accuracy: 97.814%

Epoch:  45 | @lr=0.100 @momentum=0.9
[epoch: 45,   1/391] Loss: 0.072 | Accuracy: 97.656%
[epoch: 45,  51/391] Loss: 0.060 | Accuracy: 97.963%
[epoch: 45, 101/391] Loss: 0.059 | Accuracy: 98.004%
[epoch: 45, 151/391] Loss: 0.057 | Accuracy: 98.034%
[epoch: 45, 201/391] Loss: 0.060 | Accuracy: 97.878%
[epoch: 45, 251/391] Loss: 0.061 | Accuracy: 97.852%
[epoch: 45, 301/391] Loss: 0.061 | Accuracy: 97.851%
